"subject","block_number","sound","list","block_time","block_time_s","block_time_m","block_start"
50,1,"Instrumental","C",215311,215.311,3.58851666666667,51216
50,2,"Silence","C",208956,208.956,3.4826,51444
50,3,"Lyrical","C",191809,191.809,3.19681666666667,51691
51,1,"Silence","D",178047.041999998,178.047041999998,2.96745069999997,64443
51,2,"Lyrical","D",213464.690999998,213.464690999998,3.55774484999997,64632
51,3,"Instrumental","D",164854.241999996,164.854241999996,2.74757069999993,64869
52,1,"Silence","D",240834.436000006,240.834436000006,4.01390726666677,65349
52,2,"Lyrical","D",214095.096999999,214.095096999999,3.56825161666665,65603
52,3,"Instrumental","D",192309.946000004,192.309946000004,3.20516576666674,65834
53,1,"Silence","D",252707.354999993,252.707354999993,4.21178924999989,36703
53,2,"Lyrical","D",187839.928999998,187.839928999998,3.1306654833333,36976
53,3,"Instrumental","D",160408.841000021,160.408841000021,2.67348068333369,37204
54,1,"Silence","D",204701,204.701,3.41168333333333,38181
54,2,"Lyrical","D",188192,188.192,3.13653333333333,38394
54,3,"Instrumental","D",166684,166.684,2.77806666666667,38674
55,1,"Silence","D",175082.975999998,175.082975999998,2.91804959999997,37089
55,2,"Lyrical","D",159854.031000007,159.854031000007,2.66423385000011,37275
55,3,"Instrumental","D",146449.898999998,146.449898999998,2.44083164999996,37449
56,1,"Silence","D",209218.164999821,209.218164999821,3.48696941666368,51192
56,2,"Lyrical","D",187275.834999808,187.275834999808,3.12126391666347,51429
56,3,"Instrumental","D",273201.469000077,273.201469000077,4.55335781666796,51723
57,1,"Silence","D",160573,160.573,2.67621666666667,28632
57,2,"Lyrical","D",156926,156.926,2.61543333333333,28799
57,3,"Instrumental","D",146454,146.454,2.4409,28965
58,1,"Silence","D",219833.212999999,219.833212999999,3.66388688333331,45354
58,2,"Lyrical","D",209522.038000001,209.522038000001,3.49203396666668,45585
58,3,"Instrumental","D",198838.355,198.838355,3.31397258333334,45808
59,1,"Silence","D",159340.117999995,159.340117999995,2.65566863333325,66296
59,2,"Lyrical","D",147929.807000065,147.929807000065,2.46549678333441,66464
59,3,"Instrumental","D",142494.161000106,142.494161000106,2.37490268333509,66709
60,1,"Silence","D",254432.182000004,254.432182000004,4.24053636666674,83589
60,2,"Lyrical","D",211203.273000004,211.203273000004,3.52005455000006,83857
60,3,"Instrumental","D",201946.949000003,201.946949000003,3.36578248333339,84160
