"subject","list","music","song_number","music_set","snippet_file","Pool","familiarity","preference","pleasantness","offensiveness","distraction","actual_artist","actual_song_name","artist_name","song_name"
26,"D","lyrical","1","B","static/B1_lyrical.mp3","University pool",10,8,8,1,8,"Jessie J (feat. B.o.B)","Price tag","Jessie J","Price tag"
26,"D","lyrical","2","B","static/B2_lyrical.mp3","University pool",10,6,6,2,8,"Iggy Azalea (ft. Charli XCX)","Fancy","Iggy Azalia","Fancy"
26,"D","lyrical","3","B","static/B3_lyrical.mp3","University pool",10,10,10,1,7,"Outkast","Ms. Jackson","outkast","Ms Jackson"
26,"D","instrumental","1","A","static/A1_instrumental.mp3","University pool",3,3,4,1,5,"Eminem","The way I am","eminem","fancy"
26,"D","instrumental","2","A","static/A2_instrumental.mp3","University pool",10,7,7,1,6,"Post Malone","WoW","post malone","G wagon"
26,"D","instrumental","3","A","static/A3_instrumental.mp3","University pool",10,9,9,1,8,"Nicki Minaj (feat. Rihanna)","Fly","Nicki Minaj and Rihanna","Fly"
27,"D","lyrical","1","B","static/B1_lyrical.mp3","University pool",10,7,8,1,4,"Jessie J (feat. B.o.B)","Price tag","Jessie J","Price Tag"
27,"D","lyrical","2","B","static/B2_lyrical.mp3","University pool",10,4,4,1,6,"Iggy Azalea (ft. Charli XCX)","Fancy","Iggy Azalea","Fancy"
27,"D","lyrical","3","B","static/B3_lyrical.mp3","University pool",10,10,10,2,8,"Outkast","Ms. Jackson","outkast","ms. jackson"
27,"D","instrumental","1","A","static/A1_instrumental.mp3","University pool",1,2,4,1,7,"Eminem","The way I am","",""
27,"D","instrumental","2","A","static/A2_instrumental.mp3","University pool",3,6,6,1,3,"Post Malone","WoW","",""
27,"D","instrumental","3","A","static/A3_instrumental.mp3","University pool",3,4,4,1,4,"Nicki Minaj (feat. Rihanna)","Fly","",""
28,"E","lyrical","1","B","static/B1_lyrical.mp3","University pool",10,8,9,1,9,"Jessie J (feat. B.o.B)","Price tag","Jessie J","Price Tag"
28,"E","lyrical","2","B","static/B2_lyrical.mp3","University pool",10,6,4,3,8,"Iggy Azalea (ft. Charli XCX)","Fancy","Iggy Azalia","Fancy"
28,"E","lyrical","3","B","static/B3_lyrical.mp3","University pool",10,10,10,1,2,"Outkast","Ms. Jackson","Outcast","Miss Jackson"
28,"E","instrumental","1","A","static/A1_instrumental.mp3","University pool",8,5,4,2,1,"Eminem","The way I am","","Gangsters Paradise"
28,"E","instrumental","2","A","static/A2_instrumental.mp3","University pool",1,3,2,2,6,"Post Malone","WoW","",""
28,"E","instrumental","3","A","static/A3_instrumental.mp3","University pool",7,4,2,1,8,"Nicki Minaj (feat. Rihanna)","Fly","",""
29,"E","lyrical","1","B","static/B1_lyrical.mp3","University pool",10,8,10,1,10,"Jessie J (feat. B.o.B)","Price tag","Jesy J","Pricetag"
29,"E","lyrical","2","B","static/B2_lyrical.mp3","University pool",10,6,6,2,10,"Iggy Azalea (ft. Charli XCX)","Fancy","Iggy Azalia","Fancy"
29,"E","lyrical","3","B","static/B3_lyrical.mp3","University pool",10,8,8,1,6,"Outkast","Ms. Jackson","","Miss Jackson"
29,"E","instrumental","1","A","static/A1_instrumental.mp3","University pool",2,5,5,1,5,"Eminem","The way I am","",""
29,"E","instrumental","2","A","static/A2_instrumental.mp3","University pool",1,1,1,1,5,"Post Malone","WoW","",""
29,"E","instrumental","3","A","static/A3_instrumental.mp3","University pool",4,2,5,1,5,"Nicki Minaj (feat. Rihanna)","Fly","",""
30,"E","lyrical","1","B","static/B1_lyrical.mp3","University pool",10,9,9,1,8,"Jessie J (feat. B.o.B)","Price tag","Jessie J","Price Tag"
30,"E","lyrical","2","B","static/B2_lyrical.mp3","University pool",10,9,9,1,9,"Iggy Azalea (ft. Charli XCX)","Fancy","Iggy Azalia","Fancy"
30,"E","lyrical","3","B","static/B3_lyrical.mp3","University pool",9,9,9,1,9,"Outkast","Ms. Jackson","Outcast","sorry ms jackson"
30,"E","instrumental","1","A","static/A1_instrumental.mp3","University pool",7,6,6,1,8,"Eminem","The way I am","Eminem",""
30,"E","instrumental","2","A","static/A2_instrumental.mp3","University pool",10,10,10,1,9,"Post Malone","WoW","Post Malone","WOW"
30,"E","instrumental","3","A","static/A3_instrumental.mp3","University pool",5,6,7,1,8,"Nicki Minaj (feat. Rihanna)","Fly","Nicki minaj","fly"
31,"E","lyrical","1","B","static/B1_lyrical.mp3","University pool",10,8,8,1,5,"Jessie J (feat. B.o.B)","Price tag","Jessie J","Price Tag"
31,"E","lyrical","2","B","static/B2_lyrical.mp3","University pool",10,9,8,1,7,"Iggy Azalea (ft. Charli XCX)","Fancy","Iggy Azalea/Charlie XCX","Fancy"
31,"E","lyrical","3","B","static/B3_lyrical.mp3","University pool",10,9,9,1,6,"Outkast","Ms. Jackson","Outkast","Ms. Jackson"
31,"E","instrumental","1","A","static/A1_instrumental.mp3","University pool",1,3,6,1,3,"Eminem","The way I am","",""
31,"E","instrumental","2","A","static/A2_instrumental.mp3","University pool",1,2,2,1,1,"Post Malone","WoW","",""
31,"E","instrumental","3","A","static/A3_instrumental.mp3","University pool",3,3,2,1,1,"Nicki Minaj (feat. Rihanna)","Fly","",""
32,"E","lyrical","1","B","static/B1_lyrical.mp3","University pool",10,10,10,1,9,"Jessie J (feat. B.o.B)","Price tag","Jessie J","Price tag"
32,"E","lyrical","2","B","static/B2_lyrical.mp3","University pool",10,8,7,1,9,"Iggy Azalea (ft. Charli XCX)","Fancy","Iggy Azalia","Fancy"
32,"E","lyrical","3","B","static/B3_lyrical.mp3","University pool",2,4,5,1,6,"Outkast","Ms. Jackson","",""
32,"E","instrumental","1","A","static/A1_instrumental.mp3","University pool",3,4,4,1,6,"Eminem","The way I am","",""
32,"E","instrumental","2","A","static/A2_instrumental.mp3","University pool",4,5,3,1,6,"Post Malone","WoW","",""
32,"E","instrumental","3","A","static/A3_instrumental.mp3","University pool",2,4,3,1,6,"Nicki Minaj (feat. Rihanna)","Fly","",""
33,"E","lyrical","1","B","static/B1_lyrical.mp3","University pool",10,8,8,1,9,"Jessie J (feat. B.o.B)","Price tag","Jessie J","Price Tag"
