subject;list;music;song_number;music_set;snippet_file;Pool;familiarity;preference;pleasantness;offensiveness;distraction;actual_artist;artist_name;accuracy_artist;actual_song_name;song_name;accuracy_song;;
19;A;lyrical;3;A;static/A3_lyrical.mp3;University pool;10;9;10;1;7;Nicki Minaj (feat. Rihanna);Rihanna;1;Fly;fly;1;;
19;A;instrumental;1;B;static/B1_instrumental.mp3;University pool;10;10;10;1;6;Jessie J (feat. B.o.B);Jessie J;1;Price tag;Price Tag;1;;
19;A;instrumental;2;B;static/B2_instrumental.mp3;University pool;10;2;2;2;10;Iggy Azalea (ft. Charli XCX);Iggy Azalea;1;Fancy;I'm so fancy;1;;
19;A;instrumental;3;B;static/B3_instrumental.mp3;University pool;7;6;6;1;5;Outkast;;0;Ms. Jackson;;0;;
20;B;lyrical;1;A;static/A1_lyrical.mp3;University pool;7;7;5;8;8;Eminem;Eminiem;1;The way I am;The way i am;1;;
20;B;lyrical;2;A;static/A2_lyrical.mp3;University pool;10;9;8;1;4;Post Malone;post malone;1;WoW;wow;1;;
20;B;lyrical;3;A;static/A3_lyrical.mp3;University pool;8;6;5;1;4;Nicki Minaj (feat. Rihanna);;0;Fly;fly;1;;
20;B;instrumental;1;B;static/B1_instrumental.mp3;University pool;10;6;8;1;6;Jessie J (feat. B.o.B);jessie j;1;Price tag;price tag;1;;
20;B;instrumental;2;B;static/B2_instrumental.mp3;University pool;10;5;6;2;5;Iggy Azalea (ft. Charli XCX);iggy azalea;1;Fancy;fancy;1;;
20;B;instrumental;3;B;static/B3_instrumental.mp3;University pool;10;9;9;1;5;Outkast;outkast;1;Ms. Jackson;ms jackson;1;;
21;B;lyrical;1;A;static/A1_lyrical.mp3;University pool;6;6;5;1;8;Eminem;Eminem;1;The way I am;The way I am;1;;
21;B;lyrical;2;A;static/A2_lyrical.mp3;University pool;10;8;8;1;9;Post Malone;Post Malone;1;WoW;Wow;1;;
21;B;lyrical;3;A;static/A3_lyrical.mp3;University pool;9;7;9;1;4;Nicki Minaj (feat. Rihanna);Rihanna and Nicki Minaj;1;Fly;Fly;1;;
21;B;instrumental;1;B;static/B1_instrumental.mp3;University pool;4;1;1;1;2;Jessie J (feat. B.o.B);;0;Price tag;;0;;
21;B;instrumental;2;B;static/B2_instrumental.mp3;University pool;10;7;4;1;10;Iggy Azalea (ft. Charli XCX);Iggy Azelea and Charlie XCX;1;Fancy;Fancy;1;;
21;B;instrumental;3;B;static/B3_instrumental.mp3;University pool;9;9;7;2;8;Outkast;OutKast;1;Ms. Jackson;Ms Jackson;1;;
22;B;lyrical;1;A;static/A1_lyrical.mp3;University pool;10;10;10;1;10;Eminem;Eminem;1;The way I am;NA;0;;
