"subject","which_list","song_rating","snippet_file","familiarity","preference","pleasantness","offensiveness","distraction","artist_name","song_name"
37,"C",3,"static/A3_lyrical.mp3",10,9,8,1,10,"Rhianna ","fly"
37,"C",4,"static/B1_instrumental.mp3",10,2,2,1,5,"Jessie J","Price tag"
37,"C",5,"static/B2_instrumental.mp3",10,6,6,2,6,"Charlie XCX and Iggy Azaelea ","Fancy "
37,"C",6,"static/B3_instrumental.mp3",10,10,6,2,7,"Outcast","Ms. Jackson"
38,"C",1,"static/A1_lyrical.mp3",10,7,7,1,7,"",""
38,"C",2,"static/A2_lyrical.mp3",10,10,10,1,7,"post malone","wow"
38,"C",3,"static/A3_lyrical.mp3",8,8,8,1,6,"",""
38,"C",4,"static/B1_instrumental.mp3",10,7,8,1,3,"",""
38,"C",5,"static/B2_instrumental.mp3",10,4,4,1,6,"",""
38,"C",6,"static/B3_instrumental.mp3",10,8,8,1,5,"","miss jackson"
39,"C",1,"static/A1_lyrical.mp3",10,8,5,4,7,"Eminem","The Way I Am"
39,"C",2,"static/A2_lyrical.mp3",10,9,8,3,8,"Post Malone","Wow."
39,"C",3,"static/A3_lyrical.mp3",7,6,8,3,6,"Rihanna","Fly"
39,"C",4,"static/B1_instrumental.mp3",10,6,8,3,5,"Jessie J","Price Tag"
39,"C",5,"static/B2_instrumental.mp3",10,6,6,5,7,"Charli XCX","Fancy"
39,"C",6,"static/B3_instrumental.mp3",10,10,10,4,8,"OutKast","Ms. Jackson"
40,"C",1,"static/A1_lyrical.mp3",10,8,7,1,8,"Eminem","The Way I am "
40,"C",2,"static/A2_lyrical.mp3",6,2,2,1,5,"",""
40,"C",3,"static/A3_lyrical.mp3",8,1,1,1,5,"",""
40,"C",4,"static/B1_instrumental.mp3",10,3,3,1,5,"Jessie J ","Price Tag"
40,"C",5,"static/B2_instrumental.mp3",8,3,3,1,3,"",""
40,"C",6,"static/B3_instrumental.mp3",10,8,8,1,5,"Outkast","Ms Jackson"
