subject;list;music;song_number;music_set;snippet_file;Pool;familiarity;preference;pleasantness;offensiveness;distraction;actual_artist;artist_name;accuracy_artist;actual_song_name;song_name;accuracy_song
32;B;lyrical;3;A;static/A3_lyrical.mp3;Prolific;1;7;7;1;6;Evidence;NA;0;Throw It All Away;NA;0
32;B;instrumental;1;B;static/B1_instrumental.mp3;Prolific;4;7;7;1;4;The Four Owls;NA;0;Old Earth;NA;0
32;B;instrumental;2;B;static/B2_instrumental.mp3;Prolific;1;8;8;1;6;Aesop Rock;NA;0;Molecules;NA;0
32;B;instrumental;3;B;static/B3_instrumental.mp3;Prolific;1;8;8;1;6;Atmosphere;NA;0;Just for show;NA;0
33;B;lyrical;1;A;static/A1_lyrical.mp3;Prolific;1;2;2;7;10;Sa-Roc;NA;0;Starseed;NA;0
33;B;lyrical;2;A;static/A2_lyrical.mp3;Prolific;1;1;1;10;10;Johnie Bee ft. Rasco;NA;0;In My Prime;NA;0
33;B;lyrical;3;A;static/A3_lyrical.mp3;Prolific;1;1;1;6;6;Evidence;NA;0;Throw It All Away;NA;0
33;B;instrumental;1;B;static/B1_instrumental.mp3;Prolific;1;7;7;1;1;The Four Owls;NA;0;Old Earth;NA;0
33;B;instrumental;2;B;static/B2_instrumental.mp3;Prolific;1;1;1;1;6;Aesop Rock;NA;0;Molecules;NA;0
33;B;instrumental;3;B;static/B3_instrumental.mp3;Prolific;1;6;7;1;7;Atmosphere;NA;0;Just for show;NA;0
34;B;lyrical;1;A;static/A1_lyrical.mp3;Prolific;2;8;8;1;9;Sa-Roc;?;0;Starseed;?;0
34;B;lyrical;2;A;static/A2_lyrical.mp3;Prolific;4;9;8;2;10;Johnie Bee ft. Rasco;?;0;In My Prime;?;0
34;B;lyrical;3;A;static/A3_lyrical.mp3;Prolific;2;5;6;2;9;Evidence;?;0;Throw It All Away;?;0
34;B;instrumental;1;B;static/B1_instrumental.mp3;Prolific;1;7;4;1;8;The Four Owls;?;0;Old Earth;?;0
34;B;instrumental;2;B;static/B2_instrumental.mp3;Prolific;1;5;7;1;7;Aesop Rock;?;0;Molecules;?;0
34;B;instrumental;3;B;static/B3_instrumental.mp3;Prolific;3;6;8;1;7;Atmosphere;?;0;Just for show;?;0
35;B;lyrical;1;A;static/A1_lyrical.mp3;Prolific;2;2;2;1;10;Sa-Roc;NA;0;Starseed;NA;0
