"subject","item","Provo_ID","list","accuracy","duration","sound","ended_on","response","correctResponse","Pool","item_quest"
7,6,NA,"A",1,2681.88399999111,"instrumental","response","FALSE","FALSE","University pool",2
7,3,NA,"A",1,2757.42199999408,"instrumental","response","TRUE","TRUE","University pool",1
7,3,NA,"A",1,1917.62999999698,"instrumental","response","FALSE","FALSE","University pool",2
7,15,NA,"A",1,2592.21099999105,"instrumental","response","FALSE","FALSE","University pool",1
7,15,NA,"A",1,6239.08100000001,"instrumental","response","TRUE","TRUE","University pool",2
8,1,NA,"A",1,3141.90399995231,"silence","response","TRUE","TRUE","University pool",1
8,1,NA,"A",1,2328.41599996423,"silence","response","FALSE","FALSE","University pool",2
8,10,NA,"A",1,4261.97999998808,"silence","response","TRUE","TRUE","University pool",1
8,10,NA,"A",1,3592.84099998808,"silence","response","TRUE","TRUE","University pool",2
8,13,NA,"A",1,5340.21199998807,"silence","response","FALSE","FALSE","University pool",1
8,13,NA,"A",1,2308.62999997614,"silence","response","TRUE","TRUE","University pool",2
8,7,NA,"A",1,4956.12399997615,"silence","response","FALSE","FALSE","University pool",1
8,7,NA,"A",1,2627.58000000002,"silence","response","TRUE","TRUE","University pool",2
8,4,NA,"A",1,2544.65399997617,"silence","response","FALSE","FALSE","University pool",1
8,4,NA,"A",1,4389.39199998806,"silence","response","TRUE","TRUE","University pool",2
8,14,NA,"A",0,3920.47299995233,"lyrical","response","TRUE","FALSE","University pool",1
8,14,NA,"A",0,2019.69999995234,"lyrical","response","TRUE","FALSE","University pool",2
8,11,NA,"A",1,3356.16799995233,"lyrical","response","FALSE","FALSE","University pool",1
8,11,NA,"A",0,3506.31199999998,"lyrical","response","TRUE","FALSE","University pool",2
8,2,NA,"A",1,3040.88199995231,"lyrical","response","FALSE","FALSE","University pool",1
8,2,NA,"A",1,3474.29999995232,"lyrical","response","FALSE","FALSE","University pool",2
8,8,NA,"A",1,5056.80899997614,"lyrical","response","FALSE","FALSE","University pool",1
8,8,NA,"A",1,3986.16799996427,"lyrical","response","TRUE","TRUE","University pool",2
8,5,NA,"A",1,1775.70999998809,"lyrical","response","TRUE","TRUE","University pool",1
8,5,NA,"A",0,2605.9919999761,"lyrical","response","FALSE","TRUE","University pool",2
8,9,NA,"A",1,2503.52999996429,"instrumental","response","FALSE","FALSE","University pool",1
8,9,NA,"A",1,3735.44299996423,"instrumental","response","FALSE","FALSE","University pool",2
8,6,NA,"A",1,2548.10299996426,"instrumental","response","TRUE","TRUE","University pool",1
8,6,NA,"A",1,4188.81799995236,"instrumental","response","FALSE","FALSE","University pool",2
8,3,NA,"A",1,2351.4079999642,"instrumental","response","TRUE","TRUE","University pool",1
8,3,NA,"A",1,2725.05599996424,"instrumental","response","FALSE","FALSE","University pool",2
8,15,NA,"A",1,3384.60399995232,"instrumental","response","FALSE","FALSE","University pool",1
8,15,NA,"A",0,2549.95799997612,"instrumental","response","FALSE","TRUE","University pool",2
8,12,NA,"A",0,4261.47599998803,"instrumental","response","TRUE","FALSE","University pool",1
8,12,NA,"A",1,3261.37999995227,"instrumental","response","TRUE","TRUE","University pool",2
9,4,NA,"A",0,2489.40199999962,"silence","response","TRUE","FALSE","University pool",1
9,4,NA,"A",0,3044.43799999889,"silence","response","FALSE","TRUE","University pool",2
9,1,NA,"A",1,2627.52199999924,"silence","response","TRUE","TRUE","University pool",1
9,1,NA,"A",1,2225.49499999962,"silence","response","FALSE","FALSE","University pool",2
9,10,NA,"A",1,2559.65999999925,"silence","response","TRUE","TRUE","University pool",1
9,10,NA,"A",1,2744.48499999999,"silence","response","TRUE","TRUE","University pool",2
9,13,NA,"A",1,4477.94199999887,"silence","response","FALSE","FALSE","University pool",1
9,13,NA,"A",1,3905.27000000002,"silence","response","TRUE","TRUE","University pool",2
9,7,NA,"A",1,1904.97200000036,"silence","response","FALSE","FALSE","University pool",1
9,7,NA,"A",1,3731.55699999962,"silence","response","TRUE","TRUE","University pool",2
9,14,NA,"A",1,3084.06500000035,"lyrical","response","FALSE","FALSE","University pool",1
9,14,NA,"A",1,4175.03899999999,"lyrical","response","FALSE","FALSE","University pool",2
9,2,NA,"A",0,3235.33799999923,"lyrical","response","TRUE","FALSE","University pool",1
9,2,NA,"A",0,2248.8689999996,"lyrical","response","TRUE","FALSE","University pool",2
9,5,NA,"A",0,2533.69699999888,"lyrical","response","FALSE","TRUE","University pool",1
9,5,NA,"A",1,1047.00699999888,"lyrical","response","TRUE","TRUE","University pool",2
9,8,NA,"A",1,3144.76099999965,"lyrical","response","FALSE","FALSE","University pool",1
9,8,NA,"A",1,1538.0369999996,"lyrical","response","TRUE","TRUE","University pool",2
9,11,NA,"A",0,2253.00599999924,"lyrical","response","TRUE","FALSE","University pool",1
9,11,NA,"A",0,2873.66099999961,"lyrical","response","TRUE","FALSE","University pool",2
9,6,NA,"A",1,1597.66299999924,"instrumental","response","TRUE","TRUE","University pool",1
9,6,NA,"A",1,3269.18800000031,"instrumental","response","FALSE","FALSE","University pool",2
9,15,NA,"A",0,2537.18400000001,"instrumental","response","TRUE","FALSE","University pool",1
9,15,NA,"A",1,3394.30399999884,"instrumental","response","TRUE","TRUE","University pool",2
9,9,NA,"A",1,3576.02899999963,"instrumental","response","FALSE","FALSE","University pool",1
9,9,NA,"A",1,3343.68500000041,"instrumental","response","FALSE","FALSE","University pool",2
9,3,NA,"A",1,2193.08799999882,"instrumental","response","TRUE","TRUE","University pool",1
9,3,NA,"A",1,2112.25800000003,"instrumental","response","FALSE","FALSE","University pool",2
9,12,NA,"A",0,2704.29599999962,"instrumental","response","TRUE","FALSE","University pool",1
9,12,NA,"A",1,1154.61400000041,"instrumental","response","TRUE","TRUE","University pool",2
10,1,NA,"A",1,2619.72800000149,"silence","response","TRUE","TRUE","University pool",1
10,1,NA,"A",1,2441.48300000074,"silence","response","FALSE","FALSE","University pool",2
10,10,NA,"A",1,8236.59800000075,"silence","response","TRUE","TRUE","University pool",1
10,10,NA,"A",1,3096.82600000149,"silence","response","TRUE","TRUE","University pool",2
10,7,NA,"A",0,5691.02300000039,"silence","response","TRUE","FALSE","University pool",1
10,7,NA,"A",0,2957.52700000111,"silence","response","FALSE","TRUE","University pool",2
10,4,NA,"A",0,4828.5440000011,"silence","response","TRUE","FALSE","University pool",1
10,4,NA,"A",1,2465.93400000146,"silence","response","TRUE","TRUE","University pool",2
10,13,NA,"A",1,6396.00400000077,"silence","response","FALSE","FALSE","University pool",1
10,13,NA,"A",1,6945.16400000075,"silence","response","TRUE","TRUE","University pool",2
10,5,NA,"A",0,2272.3870000015,"lyrical","response","FALSE","TRUE","University pool",1
10,5,NA,"A",1,2436.49300000002,"lyrical","response","TRUE","TRUE","University pool",2
10,8,NA,"A",1,2973.76899999997,"lyrical","response","FALSE","FALSE","University pool",1
10,8,NA,"A",1,2149.49600000074,"lyrical","response","TRUE","TRUE","University pool",2
10,14,NA,"A",1,2143.48800000147,"lyrical","response","FALSE","FALSE","University pool",1
10,14,NA,"A",1,8496.33199999999,"lyrical","response","FALSE","FALSE","University pool",2
10,11,NA,"A",1,3206.84900000039,"lyrical","response","FALSE","FALSE","University pool",1
10,11,NA,"A",0,4661.11700000148,"lyrical","response","TRUE","FALSE","University pool",2
10,2,NA,"A",1,7180.07300000114,"lyrical","response","FALSE","FALSE","University pool",1
10,2,NA,"A",0,3618.62600000075,"lyrical","response","TRUE","FALSE","University pool",2
10,9,NA,"A",1,3041.52800000075,"instrumental","response","FALSE","FALSE","University pool",1
10,9,NA,"A",1,5973.59300000069,"instrumental","response","FALSE","FALSE","University pool",2
10,6,NA,"A",1,2003.02599999995,"instrumental","response","TRUE","TRUE","University pool",1
10,6,NA,"A",1,2217.78500000073,"instrumental","response","FALSE","FALSE","University pool",2
10,3,NA,"A",1,2275.38600000076,"instrumental","response","TRUE","TRUE","University pool",1
10,3,NA,"A",1,1983.47500000149,"instrumental","response","FALSE","FALSE","University pool",2
10,15,NA,"A",1,2784.66700000071,"instrumental","response","FALSE","FALSE","University pool",1
10,15,NA,"A",1,3671.76400000148,"instrumental","response","TRUE","TRUE","University pool",2
10,12,NA,"A",0,7278.08500000078,"instrumental","response","TRUE","FALSE","University pool",1
10,12,NA,"A",1,3592.01899999997,"instrumental","response","TRUE","TRUE","University pool",2
11,7,NA,"A",1,2885.18700002384,"silence","response","FALSE","FALSE","University pool",1
11,7,NA,"A",1,3083.84000000003,"silence","response","TRUE","TRUE","University pool",2
11,10,NA,"A",1,4513.27399999998,"silence","response","TRUE","TRUE","University pool",1
11,10,NA,"A",1,3898.52600002382,"silence","response","TRUE","TRUE","University pool",2
11,1,NA,"A",1,3195.48600002384,"silence","response","TRUE","TRUE","University pool",1
11,1,NA,"A",1,2019.45400000003,"silence","response","FALSE","FALSE","University pool",2
11,4,NA,"A",1,2117.63200002385,"silence","response","FALSE","FALSE","University pool",1
11,4,NA,"A",0,190.203000023845,"silence","response","FALSE","TRUE","University pool",2
11,13,NA,"A",1,4317.5850000119,"silence","response","FALSE","FALSE","University pool",1
11,13,NA,"A",1,4039.50800001191,"silence","response","TRUE","TRUE","University pool",2
