"subject","item","Provo_ID","list","word","word_ID","ended_on","duration","sound","Pool","log_duration"
2,1,2,"A",45,"there","response",443.504999995232,"silence","University pool",6.09470907563249
2,1,2,"A",46,"was","response",360.920000006445,"silence","University pool",5.88865632714416
2,1,2,"A",47,"scarcely","response",2001.63600001333,"silence","University pool",7.60172012516908
2,1,2,"A",48,"a","response",312.903000017395,"silence","University pool",5.74589323841218
2,1,2,"A",49,"square","response",627.655999981565,"silence","University pool",6.44199224565701
2,1,2,"A",50,"inch","response",689.560000007797,"silence","University pool",6.53605371303809
2,1,2,"A",51,"of","response",581.587000009837,"silence","University pool",6.36576057385436
2,1,2,"A",52,"earth","response",445.685999992304,"silence","University pool",6.09961466817872
2,1,2,"A",53,"that","response",466.901000008802,"silence","University pool",6.1461172437797
2,1,2,"A",54,"was","response",399.575000026205,"silence","University pool",5.9904014823203
2,1,2,"A",55,"not","response",358.937999973074,"silence","University pool",5.8831496715487
2,1,2,"A",56,"illuminated","response",512.218000016233,"silence","University pool",6.23875031570209
2,1,2,"A",57,"by","response",346.881999976933,"silence","University pool",5.84898466441076
2,1,2,"A",58,"aurora.","response",468.386999991257,"silence","University pool",6.14929487726338
2,10,48,"A",1,"in","response",431.641000028467,"silence","University pool",6.06759422430424
2,10,48,"A",2,"the","response",381.608999982185,"silence","University pool",5.94439652415499
2,10,48,"A",3,"United","response",701.566000010294,"silence","University pool",6.55331497923705
2,10,48,"A",4,"States,","response",416.981000019936,"silence","University pool",6.0330406572594
2,10,48,"A",5,"Colombian","response",423.615999988629,"silence","University pool",6.04882738446962
2,10,48,"A",6,"legislation","response",870.237000015564,"silence","University pool",6.76876558836172
2,10,48,"A",7,"requires","response",450.922000024817,"silence","University pool",6.11129437559809
2,10,48,"A",8,"travelers","response",544.127000028733,"silence","University pool",6.29918267554452
2,10,48,"A",9,"entering","response",410.328000004403,"silence","University pool",6.01695683987965
2,10,48,"A",10,"the","response",473.600999976625,"silence","University pool",6.1603651950047
2,10,48,"A",11,"country","response",406.262000007555,"silence","University pool",6.00699827168783
2,10,48,"A",12,"to","response",357.50600002869,"silence","University pool",5.87915214529026
2,10,48,"A",13,"declare","response",422.95099997794,"silence","University pool",6.04725633304074
2,10,48,"A",14,"cash","response",373.572999977856,"silence","University pool",5.92311343387654
2,10,48,"A",15,"in","response",326.159000001266,"silence","University pool",5.78738499253029
2,10,48,"A",16,"excess","response",464.906000025861,"silence","University pool",6.14183523467018
2,10,48,"A",17,"of","response",341.614999971644,"silence","University pool",5.83368437187437
2,10,48,"A",18,"ten","response",311.563999978593,"silence","University pool",5.74160477451919
2,10,48,"A",19,"thousand","response",770.314000001061,"silence","University pool",6.64679822393225
2,10,48,"A",20,"dollars.","response",426.821000007796,"silence","University pool",6.05636472160936
2,10,48,"A",21,"Concealing","response",577.861999997695,"silence","University pool",6.35933508583678
2,10,48,"A",22,"more","response",337.602999973868,"silence","University pool",5.82187064886084
2,10,48,"A",23,"than","response",387.663999999349,"silence","University pool",5.9601389850634
2,10,48,"A",24,"that","response",347.541999987559,"silence","University pool",5.85088552097502
2,10,48,"A",25,"amount","response",412.849000001617,"silence","University pool",6.02308190867719
2,10,48,"A",26,"to","response",427.574999972072,"silence","University pool",6.05812971152044
2,10,48,"A",27,"transport","response",722.337999997195,"silence","University pool",6.58249317338803
2,10,48,"A",28,"it","response",404.931999994442,"silence","University pool",6.00371915176125
2,10,48,"A",29,"into","response",380.23499999143,"silence","University pool",5.94078948260702
2,10,48,"A",30,"or","response",324.20200001006,"silence","University pool",5.78136677834504
2,10,48,"A",31,"out","response",423.022999977286,"silence","University pool",6.04742655103686
2,10,48,"A",32,"of","response",357.564000002807,"silence","University pool",5.87931436709859
