"","subject","item","sound","reading_time_minutes","number_of_words","wpm","Experiment"
"550",37,15,"lyrical",0.378803233334352,45,118.795184518081,"Experiment 1a"
"551",37,6,"lyrical",0.364177766662399,52,142.787409776734,"Experiment 1a"
"552",37,3,"lyrical",0.579843466670136,54,93.1285822880881,"Experiment 1a"
"553",37,12,"lyrical",0.488718583321354,61,124.816207285267,"Experiment 1a"
"554",37,9,"lyrical",0.302644233336193,45,148.689434799214,"Experiment 1a"
"555",38,4,"instrumental",0.384999083341458,53,137.662665427684,"Experiment 1a"
"556",38,13,"instrumental",0.368469666677345,53,143.838163064886,"Experiment 1a"
"557",38,1,"instrumental",0.399507100009388,58,145.178896692041,"Experiment 1a"
"558",38,10,"instrumental",0.353820083338205,49,138.488464356509,"Experiment 1a"
"559",38,7,"instrumental",0.3575279166749,52,145.443187999452,"Experiment 1a"
"560",38,2,"silence",0.388088866667482,57,146.873576893506,"Experiment 1a"
"561",38,8,"silence",0.278611350002066,50,179.461461277975,"Experiment 1a"
"562",38,11,"silence",0.302032216673672,53,175.477969150766,"Experiment 1a"
"563",38,14,"silence",0.289076600006756,50,172.964536039345,"Experiment 1a"
"564",38,5,"silence",0.287219216671759,52,181.046381932818,"Experiment 1a"
"565",38,6,"lyrical",0.287922433342226,52,180.60419744436,"Experiment 1a"
"566",38,12,"lyrical",0.386759650004209,61,157.72069294027,"Experiment 1a"
"567",38,9,"lyrical",0.252081966677801,45,178.513364494323,"Experiment 1a"
"568",38,3,"lyrical",0.299260366671575,56,187.128020401905,"Experiment 1a"
"569",38,15,"lyrical",0.280904816660409,45,160.19661227241,"Experiment 1a"
"570",39,7,"instrumental",0.356474283229286,52,145.873075412156,"Experiment 1a"
"571",39,13,"instrumental",0.297147449884121,53,178.362627781825,"Experiment 1a"
"572",39,1,"instrumental",0.327127033228357,58,177.301152483818,"Experiment 1a"
"573",39,10,"instrumental",0.298085816598617,49,164.382192212722,"Experiment 1a"
"574",39,4,"instrumental",0.275083816559563,53,192.668549763719,"Experiment 1a"
"575",39,14,"silence",0.264711733185036,50,188.884713942957,"Experiment 1a"
"576",39,5,"silence",0.292678166565172,51,174.252834089158,"Experiment 1a"
"577",39,8,"silence",0.25264751654751,50,197.904181617386,"Experiment 1a"
"578",39,2,"silence",0.277288916569585,56,201.955421416733,"Experiment 1a"
"579",39,11,"silence",0.222283749878174,53,238.433983721471,"Experiment 1a"
"580",39,12,"lyrical",0.30938254988748,61,197.166905574297,"Experiment 1a"
"581",39,3,"lyrical",0.287204633228397,56,194.982926878712,"Experiment 1a"
"582",39,9,"lyrical",0.200059833254851,45,224.932707719873,"Experiment 1a"
"583",39,15,"lyrical",0.226740966564722,45,198.464356405375,"Experiment 1a"
"584",39,6,"lyrical",0.274864666537527,51,185.545856593528,"Experiment 1a"
"585",40,13,"instrumental",0.565682950009803,53,93.6920584208548,"Experiment 1a"
"586",40,1,"instrumental",0.393895150006657,58,147.247306799842,"Experiment 1a"
"587",40,4,"instrumental",0.502957666674762,53,105.376661917498,"Experiment 1a"
"588",40,7,"instrumental",0.372237233341199,52,139.695858829726,"Experiment 1a"
